text,overall,sentiment,tweet_length,tokens,clean_text
 Regret for decisions that led to a painful present.,0,Negative,52,"['regret', 'for', 'decisions', 'that', 'led', 'to', 'a', 'painful', 'present']", regret for decisions that led to a painful present
 Disgust at the corruption that stains society.     ,0,Negative,52,"['disgust', 'at', 'the', 'corruption', 'that', 'stains', 'society']", disgust at the corruption that stains society     
" Sinking in despair, each day darker than the last. ",0,Negative,52,"['sinking', 'in', 'despair', 'each', 'day', 'darker', 'than', 'the', 'last']", sinking in despair each day darker than the last 
" Grief overwhelms, a storm of emotions within.      ",0,Negative,52,"['grief', 'overwhelms', 'a', 'storm', 'of', 'emotions', 'within']", grief overwhelms a storm of emotions within      
" Loneliness echoes in empty spaces, yearning for connection.",0,Negative,60,"['loneliness', 'echoes', 'in', 'empty', 'spaces', 'yearning', 'for', 'connection']", loneliness echoes in empty spaces yearning for connection
" Jealousy poisons my thoughts, resentment brewing within.",0,Negative,57,"['jealousy', 'poisons', 'my', 'thoughts', 'resentment', 'brewing', 'within']", jealousy poisons my thoughts resentment brewing within
" Resentment festers, a wound that refuses to heal.  ",0,Negative,52,"['resentment', 'festers', 'a', 'wound', 'that', 'refuses', 'to', 'heal']", resentment festers a wound that refuses to heal  
" Frustration escalates, a thunderstorm of emotions. ",0,Negative,52,"['frustration', 'escalates', 'a', 'thunderstorm', 'of', 'emotions']", frustration escalates a thunderstorm of emotions 
" Boredom lingers, a stagnant pool of indifference.  ",0,Negative,52,"['boredom', 'lingers', 'a', 'stagnant', 'pool', 'of', 'indifference']", boredom lingers a stagnant pool of indifference  
" Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge. ",1,Positive,86,"['embarking', 'on', 'a', 'journey', 'of', 'discovery', 'fueled', 'by', 'curiosity', 'and', 'a', 'thirst', 'for', 'knowledge']", embarking on a journey of discovery fueled by curiosity and a thirst for knowledge 
" Embracing the ebb and flow of life, finding acceptance in the dance of existence. ",1,Positive,83,"['embracing', 'the', 'ebb', 'and', 'flow', 'of', 'life', 'finding', 'acceptance', 'in', 'the', 'dance', 'of', 'existence']", embracing the ebb and flow of life finding acceptance in the dance of existence 
" Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world. ",1,Positive,99,"['serenity', 'found', 'in', 'the', 'stillness', 'of', 'nature', 'a', 'tranquil', 'retreat', 'from', 'the', 'chaos', 'of', 'the', 'modern', 'world']", serenity found in the stillness of nature a tranquil retreat from the chaos of the modern world 
" Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom. ",1,Positive,98,"['curiosity', 'leading', 'me', 'down', 'the', 'rabbit', 'hole', 'of', 'knowledge', 'a', 'perpetual', 'student', 'in', 'lifes', 'classroom']", curiosity leading me down the rabbit hole of knowledge a perpetual student in lifes classroom 
" Embracing the flaws, finding acceptance in imperfection, a journey towards self-love. ",1,Positive,87,"['embracing', 'the', 'flaws', 'finding', 'acceptance', 'in', 'imperfection', 'a', 'journey', 'towards', 'selflove']", embracing the flaws finding acceptance in imperfection a journey towards selflove 
" Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace. ",1,Positive,101,"['tranquil', 'moments', 'by', 'the', 'ocean', 'serenity', 'washing', 'over', 'a', 'peaceful', 'retreat', 'within', 'the', 'waves', 'embrace']", tranquil moments by the ocean serenity washing over a peaceful retreat within the waves embrace 
" Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge. ",1,Positive,103,"['exploring', 'new', 'horizons', 'with', 'the', 'spark', 'of', 'curiosity', 'an', 'adventurer', 'in', 'the', 'vast', 'landscape', 'of', 'knowledge']", exploring new horizons with the spark of curiosity an adventurer in the vast landscape of knowledge 
" Embracing life's imperfections, finding acceptance in the journey, scars and all. ",1,Positive,83,"['embracing', 'lifes', 'imperfections', 'finding', 'acceptance', 'in', 'the', 'journey', 'scars', 'and', 'all']", embracing lifes imperfections finding acceptance in the journey scars and all 
" Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul. ",1,Positive,98,"['basking', 'in', 'the', 'serenity', 'of', 'a', 'quiet', 'forest', 'where', 'the', 'whispers', 'of', 'nature', 'bring', 'peace', 'to', 'the', 'soul']", basking in the serenity of a quiet forest where the whispers of nature bring peace to the soul 
" Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos. ",1,Positive,86,"['embracing', 'imperfections', 'finding', 'acceptance', 'in', 'the', 'mosaic', 'of', 'lifes', 'beautiful', 'chaos']", embracing imperfections finding acceptance in the mosaic of lifes beautiful chaos 
" Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life. ",1,Positive,97,"['seeking', 'serenity', 'in', 'the', 'melody', 'of', 'raindrops', 'a', 'tranquil', 'escape', 'from', 'the', 'noise', 'of', 'everyday', 'life']", seeking serenity in the melody of raindrops a tranquil escape from the noise of everyday life 
" Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories. ",1,Positive,99,"['curiosity', 'driving', 'the', 'exploration', 'of', 'the', 'unknown', 'a', 'seeker', 'of', 'knowledge', 'in', 'uncharted', 'territories']", curiosity driving the exploration of the unknown a seeker of knowledge in uncharted territories 
" Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art. ",1,Positive,102,"['embracing', 'the', 'beauty', 'in', 'imperfections', 'finding', 'acceptance', 'in', 'the', 'mosaic', 'of', 'lifes', 'unpredictable', 'art']", embracing the beauty in imperfections finding acceptance in the mosaic of lifes unpredictable art 
" Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul. ",1,Positive,105,"['immerse', 'in', 'the', 'serenity', 'of', 'a', 'moonlit', 'night', 'where', 'the', 'quiet', 'whispers', 'of', 'nature', 'bring', 'peace', 'to', 'the', 'soul']", immerse in the serenity of a moonlit night where the quiet whispers of nature bring peace to the soul 
" Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world. ",1,Positive,106,"['fueled', 'by', 'curiosity', 'venturing', 'into', 'uncharted', 'realms', 'a', 'fearless', 'explorer', 'of', 'the', 'mysteries', 'of', 'the', 'world']", fueled by curiosity venturing into uncharted realms a fearless explorer of the mysteries of the world 
" Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart. ",1,Positive,103,"['basking', 'in', 'the', 'golden', 'glow', 'of', 'contentment', 'a', 'serene', 'river', 'flowing', 'through', 'the', 'landscape', 'of', 'the', 'heart']", basking in the golden glow of contentment a serene river flowing through the landscape of the heart 
" Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms. ",1,Positive,121,"['bathed', 'in', 'the', 'glow', 'of', 'inspiration', 'a', 'creative', 'phoenix', 'rising', 'from', 'the', 'ashes', 'of', 'ordinary', 'thoughts', 'to', 'explore', 'new', 'realms']", bathed in the glow of inspiration a creative phoenix rising from the ashes of ordinary thoughts to explore new realms 
" Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed. ",1,Positive,128,"['striding', 'with', 'confidence', 'footprints', 'of', 'selfassuredness', 'imprinted', 'on', 'the', 'sands', 'of', 'challenges', 'conquered', 'and', 'victories', 'claimed']", striding with confidence footprints of selfassuredness imprinted on the sands of challenges conquered and victories claimed 
" Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams. ",1,Positive,109,"['lost', 'in', 'the', 'symphony', 'of', 'the', 'night', 'a', 'moonlit', 'serenade', 'that', 'whispers', 'tales', 'of', 'wanderlust', 'and', 'moonlit', 'dreams']", lost in the symphony of the night a moonlit serenade that whispers tales of wanderlust and moonlit dreams 
" Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge. ",1,Positive,119,"['unveiling', 'the', 'layers', 'of', 'curiosity', 'a', 'labyrinth', 'of', 'questions', 'leading', 'to', 'the', 'treasure', 'troves', 'of', 'undiscovered', 'knowledge']", unveiling the layers of curiosity a labyrinth of questions leading to the treasure troves of undiscovered knowledge 
" Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ",1,Positive,125,"['floating', 'on', 'clouds', 'of', 'inspiration', 'an', 'artist', 'painting', 'the', 'sky', 'with', 'strokes', 'of', 'creativity', 'creating', 'a', 'masterpiece', 'of', 'dreams']", floating on clouds of inspiration an artist painting the sky with strokes of creativity creating a masterpiece of dreams 
" Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ",1,Positive,118,"['navigating', 'the', 'river', 'of', 'contentment', 'a', 'serene', 'boat', 'cruise', 'through', 'the', 'tranquil', 'waters', 'of', 'inner', 'peace', 'and', 'acceptance']", navigating the river of contentment a serene boat cruise through the tranquil waters of inner peace and acceptance 
" Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ",1,Positive,122,"['confident', 'strides', 'in', 'the', 'dance', 'of', 'life', 'a', 'ballroom', 'where', 'selfassuredness', 'leads', 'twirling', 'through', 'challenges', 'with', 'grace']", confident strides in the dance of life a ballroom where selfassuredness leads twirling through challenges with grace 
" Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ",1,Positive,118,"['whispering', 'tales', 'of', 'inspiration', 'to', 'the', 'stars', 'a', 'storyteller', 'crafting', 'constellations', 'from', 'the', 'threads', 'of', 'imagination']", whispering tales of inspiration to the stars a storyteller crafting constellations from the threads of imagination 
" Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ",1,Positive,125,"['floating', 'on', 'clouds', 'of', 'inspiration', 'an', 'artist', 'painting', 'the', 'sky', 'with', 'strokes', 'of', 'creativity', 'creating', 'a', 'masterpiece', 'of', 'dreams']", floating on clouds of inspiration an artist painting the sky with strokes of creativity creating a masterpiece of dreams 
" Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ",1,Positive,118,"['navigating', 'the', 'river', 'of', 'contentment', 'a', 'serene', 'boat', 'cruise', 'through', 'the', 'tranquil', 'waters', 'of', 'inner', 'peace', 'and', 'acceptance']", navigating the river of contentment a serene boat cruise through the tranquil waters of inner peace and acceptance 
" Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ",1,Positive,122,"['confident', 'strides', 'in', 'the', 'dance', 'of', 'life', 'a', 'ballroom', 'where', 'selfassuredness', 'leads', 'twirling', 'through', 'challenges', 'with', 'grace']", confident strides in the dance of life a ballroom where selfassuredness leads twirling through challenges with grace 
" Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ",1,Positive,118,"['whispering', 'tales', 'of', 'inspiration', 'to', 'the', 'stars', 'a', 'storyteller', 'crafting', 'constellations', 'from', 'the', 'threads', 'of', 'imagination']", whispering tales of inspiration to the stars a storyteller crafting constellations from the threads of imagination 
" Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. ",0,Negative,114,"['drowning', 'in', 'the', 'abyss', 'of', 'despair', 'a', 'heart', 'shattered', 'into', 'fragments', 'lost', 'in', 'the', 'echoing', 'silence', 'of', 'hopelessness']", drowning in the abyss of despair a heart shattered into fragments lost in the echoing silence of hopelessness 
" Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace. ",0,Negative,118,"['bitterness', 'festering', 'like', 'a', 'venomous', 'vine', 'entwining', 'the', 'soul', 'in', 'a', 'web', 'of', 'resentment', 'poisoning', 'the', 'garden', 'of', 'peace']", bitterness festering like a venomous vine entwining the soul in a web of resentment poisoning the garden of peace 
" Wandering through the desert of loneliness, each step a heavy sigh, mirages of connection shimmering but never materializing. ",0,Negative,127,"['wandering', 'through', 'the', 'desert', 'of', 'loneliness', 'each', 'step', 'a', 'heavy', 'sigh', 'mirages', 'of', 'connection', 'shimmering', 'but', 'never', 'materializing']", wandering through the desert of loneliness each step a heavy sigh mirages of connection shimmering but never materializing 
" Eyes wide open in the night, fearful shadows dancing on the walls, the mind a prisoner of imagined horrors. ",0,Negative,109,"['eyes', 'wide', 'open', 'in', 'the', 'night', 'fearful', 'shadows', 'dancing', 'on', 'the', 'walls', 'the', 'mind', 'a', 'prisoner', 'of', 'imagined', 'horrors']", eyes wide open in the night fearful shadows dancing on the walls the mind a prisoner of imagined horrors 
" Apprehensive steps on the tightrope of uncertainty, a balancing act where the fall seems inevitable, anxiety a constant companion. ",0,Negative,132,"['apprehensive', 'steps', 'on', 'the', 'tightrope', 'of', 'uncertainty', 'a', 'balancing', 'act', 'where', 'the', 'fall', 'seems', 'inevitable', 'anxiety', 'a', 'constant', 'companion']", apprehensive steps on the tightrope of uncertainty a balancing act where the fall seems inevitable anxiety a constant companion 
" Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne. ",0,Negative,117,"['loneliness', 'a', 'silent', 'companion', 'in', 'the', 'night', 'the', 'only', 'echo', 'in', 'the', 'chamber', 'of', 'solitude', 'a', 'hearts', 'solitary', 'nocturne']", loneliness a silent companion in the night the only echo in the chamber of solitude a hearts solitary nocturne 
" Fearful whispers in the dark, the mind haunted by the specter of the unknown, shadows dancing to the rhythm of anxiety's tune. ",0,Negative,128,"['fearful', 'whispers', 'in', 'the', 'dark', 'the', 'mind', 'haunted', 'by', 'the', 'specter', 'of', 'the', 'unknown', 'shadows', 'dancing', 'to', 'the', 'rhythm', 'of', 'anxietys', 'tune']", fearful whispers in the dark the mind haunted by the specter of the unknown shadows dancing to the rhythm of anxietys tune 
" Bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time. ",0,Negative,135,"['bitterness', 'a', 'bitter', 'aftertaste', 'lingering', 'on', 'the', 'tongue', 'each', 'word', 'a', 'reminder', 'of', 'wounds', 'that', 'refuse', 'to', 'heal', 'with', 'the', 'passing', 'of', 'time']", bitterness a bitter aftertaste lingering on the tongue each word a reminder of wounds that refuse to heal with the passing of time 
" Despair like a heavy fog, enveloping every thought, blurring the path ahead, a journey in the labyrinth of utter hopelessness. ",0,Negative,128,"['despair', 'like', 'a', 'heavy', 'fog', 'enveloping', 'every', 'thought', 'blurring', 'the', 'path', 'ahead', 'a', 'journey', 'in', 'the', 'labyrinth', 'of', 'utter', 'hopelessness']", despair like a heavy fog enveloping every thought blurring the path ahead a journey in the labyrinth of utter hopelessness 
" Bitterness, a bitter chill in the air, freezing moments into icicles of resentment that dangle precariously over the landscape of memory. ",0,Negative,139,"['bitterness', 'a', 'bitter', 'chill', 'in', 'the', 'air', 'freezing', 'moments', 'into', 'icicles', 'of', 'resentment', 'that', 'dangle', 'precariously', 'over', 'the', 'landscape', 'of', 'memory']", bitterness a bitter chill in the air freezing moments into icicles of resentment that dangle precariously over the landscape of memory 
" Loneliness, a solitary moon in a starless sky, casting a cold glow on the landscape of isolation, where echoes bounce in empty spaces. ",0,Negative,136,"['loneliness', 'a', 'solitary', 'moon', 'in', 'a', 'starless', 'sky', 'casting', 'a', 'cold', 'glow', 'on', 'the', 'landscape', 'of', 'isolation', 'where', 'echoes', 'bounce', 'in', 'empty', 'spaces']", loneliness a solitary moon in a starless sky casting a cold glow on the landscape of isolation where echoes bounce in empty spaces 
" Fearful eyes scanning the shadows, a prisoner of the night, terrorized by the lurking monsters born from the mind's darkest corners. ",0,Negative,134,"['fearful', 'eyes', 'scanning', 'the', 'shadows', 'a', 'prisoner', 'of', 'the', 'night', 'terrorized', 'by', 'the', 'lurking', 'monsters', 'born', 'from', 'the', 'minds', 'darkest', 'corners']", fearful eyes scanning the shadows a prisoner of the night terrorized by the lurking monsters born from the minds darkest corners 
" Apprehensive whispers in the wind, a forecast of uncertainty, the mind's weather vane spinning wildly in the storm of doubt. ",0,Negative,126,"['apprehensive', 'whispers', 'in', 'the', 'wind', 'a', 'forecast', 'of', 'uncertainty', 'the', 'minds', 'weather', 'vane', 'spinning', 'wildly', 'in', 'the', 'storm', 'of', 'doubt']", apprehensive whispers in the wind a forecast of uncertainty the minds weather vane spinning wildly in the storm of doubt 
" Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne. ",0,Negative,117,"['loneliness', 'a', 'silent', 'companion', 'in', 'the', 'night', 'the', 'only', 'echo', 'in', 'the', 'chamber', 'of', 'solitude', 'a', 'hearts', 'solitary', 'nocturne']", loneliness a silent companion in the night the only echo in the chamber of solitude a hearts solitary nocturne 
Awe-struck by the breathtaking sunrise over the mountains.      ,1,Positive,64,"['awestruck', 'by', 'the', 'breathtaking', 'sunrise', 'over', 'the', 'mountains']",awestruck by the breathtaking sunrise over the mountains      
Calmness found in the rhythm of raindrops on the windowpane.   ,1,Positive,63,"['calmness', 'found', 'in', 'the', 'rhythm', 'of', 'raindrops', 'on', 'the', 'windowpane']",calmness found in the rhythm of raindrops on the windowpane   
Excitement builds as the countdown to a long-awaited vacation begins. ,1,Positive,70,"['excitement', 'builds', 'as', 'the', 'countdown', 'to', 'a', 'longawaited', 'vacation', 'begins']",excitement builds as the countdown to a longawaited vacation begins 
"Reflecting on life's journey, grateful for the lessons learned. ",1,Positive,64,"['reflecting', 'on', 'lifes', 'journey', 'grateful', 'for', 'the', 'lessons', 'learned']",reflecting on lifes journey grateful for the lessons learned 
Curiosity sparked by exploring a mysterious ancient ruin.      ,1,Positive,63,"['curiosity', 'sparked', 'by', 'exploring', 'a', 'mysterious', 'ancient', 'ruin']",curiosity sparked by exploring a mysterious ancient ruin      
Admiration for the intricate details of a handcrafted masterpiece. ,1,Positive,67,"['admiration', 'for', 'the', 'intricate', 'details', 'of', 'a', 'handcrafted', 'masterpiece']",admiration for the intricate details of a handcrafted masterpiece 
Gratitude for the simple joys found in a cup of morning coffee.    ,1,Positive,67,"['gratitude', 'for', 'the', 'simple', 'joys', 'found', 'in', 'a', 'cup', 'of', 'morning', 'coffee']",gratitude for the simple joys found in a cup of morning coffee    
Feeling empowered after conquering a challenging hiking trail.     ,1,Positive,67,"['feeling', 'empowered', 'after', 'conquering', 'a', 'challenging', 'hiking', 'trail']",feeling empowered after conquering a challenging hiking trail     
Excitement builds while preparing for a surprise celebration.     ,1,Positive,66,"['excitement', 'builds', 'while', 'preparing', 'for', 'a', 'surprise', 'celebration']",excitement builds while preparing for a surprise celebration     
Captivated by the serenity of a tranquil garden in full bloom.     ,1,Positive,67,"['captivated', 'by', 'the', 'serenity', 'of', 'a', 'tranquil', 'garden', 'in', 'full', 'bloom']",captivated by the serenity of a tranquil garden in full bloom     
Anticipation for an upcoming adventure in an exotic destination.   ,1,Positive,67,"['anticipation', 'for', 'an', 'upcoming', 'adventure', 'in', 'an', 'exotic', 'destination']",anticipation for an upcoming adventure in an exotic destination   
Contentment in the midst of a family gathering filled with laughter. ,1,Positive,69,"['contentment', 'in', 'the', 'midst', 'of', 'a', 'family', 'gathering', 'filled', 'with', 'laughter']",contentment in the midst of a family gathering filled with laughter 
Enthusiasm for learning new skills and expanding knowledge.      ,1,Positive,65,"['enthusiasm', 'for', 'learning', 'new', 'skills', 'and', 'expanding', 'knowledge']",enthusiasm for learning new skills and expanding knowledge      
Pride in achieving a personal milestone in career progression.   ,1,Positive,65,"['pride', 'in', 'achieving', 'a', 'personal', 'milestone', 'in', 'career', 'progression']",pride in achieving a personal milestone in career progression   
Happiness blooms like flowers in a garden on a sunny day.        ,1,Positive,65,"['happiness', 'blooms', 'like', 'flowers', 'in', 'a', 'garden', 'on', 'a', 'sunny', 'day']",happiness blooms like flowers in a garden on a sunny day        
Elation over discovering a rare book in a quaint bookstore.      ,1,Positive,65,"['elation', 'over', 'discovering', 'a', 'rare', 'book', 'in', 'a', 'quaint', 'bookstore']",elation over discovering a rare book in a quaint bookstore      
Curiosity piqued by the mysteries of an ancient archaeological site.,1,Positive,68,"['curiosity', 'piqued', 'by', 'the', 'mysteries', 'of', 'an', 'ancient', 'archaeological', 'site']",curiosity piqued by the mysteries of an ancient archaeological site
Heartfelt gratitude for the laughter shared during a family reunion. ,1,Positive,69,"['heartfelt', 'gratitude', 'for', 'the', 'laughter', 'shared', 'during', 'a', 'family', 'reunion']",heartfelt gratitude for the laughter shared during a family reunion 
Euphoria floods in as the final puzzle piece clicks into place.       ,1,Positive,70,"['euphoria', 'floods', 'in', 'as', 'the', 'final', 'puzzle', 'piece', 'clicks', 'into', 'place']",euphoria floods in as the final puzzle piece clicks into place       
Awe-inspired by the grandeur of an ancient cathedral's intricate architecture. ,1,Positive,79,"['aweinspired', 'by', 'the', 'grandeur', 'of', 'an', 'ancient', 'cathedrals', 'intricate', 'architecture']",aweinspired by the grandeur of an ancient cathedrals intricate architecture 
Heartfelt gratitude for the laughter shared during a family reunion. ,1,Positive,69,"['heartfelt', 'gratitude', 'for', 'the', 'laughter', 'shared', 'during', 'a', 'family', 'reunion']",heartfelt gratitude for the laughter shared during a family reunion 
Euphoria floods in as the final puzzle piece fits perfectly.       ,1,Positive,67,"['euphoria', 'floods', 'in', 'as', 'the', 'final', 'puzzle', 'piece', 'fits', 'perfectly']",euphoria floods in as the final puzzle piece fits perfectly       
Awe-struck by the grandeur of an ancient cathedral's intricate architecture. ,1,Positive,77,"['awestruck', 'by', 'the', 'grandeur', 'of', 'an', 'ancient', 'cathedrals', 'intricate', 'architecture']",awestruck by the grandeur of an ancient cathedrals intricate architecture 
Curiosity awakened by the mysteries of an ancient archaeological site. ,1,Positive,71,"['curiosity', 'awakened', 'by', 'the', 'mysteries', 'of', 'an', 'ancient', 'archaeological', 'site']",curiosity awakened by the mysteries of an ancient archaeological site 
Giddy with excitement as the first snowflakes dance from the sky. ,1,Positive,66,"['giddy', 'with', 'excitement', 'as', 'the', 'first', 'snowflakes', 'dance', 'from', 'the', 'sky']",giddy with excitement as the first snowflakes dance from the sky 
Contentment envelops as the aroma of freshly baked bread fills the air. ,1,Positive,72,"['contentment', 'envelops', 'as', 'the', 'aroma', 'of', 'freshly', 'baked', 'bread', 'fills', 'the', 'air']",contentment envelops as the aroma of freshly baked bread fills the air 
Imbued with gratitude for the simple pleasure of a warm cup of tea. ,1,Positive,68,"['imbued', 'with', 'gratitude', 'for', 'the', 'simple', 'pleasure', 'of', 'a', 'warm', 'cup', 'of', 'tea']",imbued with gratitude for the simple pleasure of a warm cup of tea 
Awash with serenity as the sun sets over a tranquil lakeside retreat. ,1,Positive,70,"['awash', 'with', 'serenity', 'as', 'the', 'sun', 'sets', 'over', 'a', 'tranquil', 'lakeside', 'retreat']",awash with serenity as the sun sets over a tranquil lakeside retreat 
Numbness sets in as the weight of loneliness grows heavier.       ,0,Negative,66,"['numbness', 'sets', 'in', 'as', 'the', 'weight', 'of', 'loneliness', 'grows', 'heavier']",numbness sets in as the weight of loneliness grows heavier       
"Tears fall like raindrops, mourning the end of a cherished friendship. ",0,Negative,71,"['tears', 'fall', 'like', 'raindrops', 'mourning', 'the', 'end', 'of', 'a', 'cherished', 'friendship']",tears fall like raindrops mourning the end of a cherished friendship 
"Despair clouds the mind, feeling adrift in an endless sea of darkness. ",0,Negative,71,"['despair', 'clouds', 'the', 'mind', 'feeling', 'adrift', 'in', 'an', 'endless', 'sea', 'of', 'darkness']",despair clouds the mind feeling adrift in an endless sea of darkness 
"Haunted by regrets, the ghost of the past lingers relentlessly.   ",0,Negative,66,"['haunted', 'by', 'regrets', 'the', 'ghost', 'of', 'the', 'past', 'lingers', 'relentlessly']",haunted by regrets the ghost of the past lingers relentlessly   
"Torn apart by grief, the echoes of loss reverberate through the soul. ",0,Negative,70,"['torn', 'apart', 'by', 'grief', 'the', 'echoes', 'of', 'loss', 'reverberate', 'through', 'the', 'soul']",torn apart by grief the echoes of loss reverberate through the soul 
"Heartache deepens, a solitary journey through the abyss of despair. ",0,Negative,68,"['heartache', 'deepens', 'a', 'solitary', 'journey', 'through', 'the', 'abyss', 'of', 'despair']",heartache deepens a solitary journey through the abyss of despair 
"Bitterness like a poison, seeping into every crevice of the wounded heart. ",0,Negative,75,"['bitterness', 'like', 'a', 'poison', 'seeping', 'into', 'every', 'crevice', 'of', 'the', 'wounded', 'heart']",bitterness like a poison seeping into every crevice of the wounded heart 
"Avoiding the thorns of regret, walking barefoot on the path of remorse. ",0,Negative,72,"['avoiding', 'the', 'thorns', 'of', 'regret', 'walking', 'barefoot', 'on', 'the', 'path', 'of', 'remorse']",avoiding the thorns of regret walking barefoot on the path of remorse 
"In the labyrinth of grief, the walls echo with the footsteps of lost joy. ",0,Negative,74,"['in', 'the', 'labyrinth', 'of', 'grief', 'the', 'walls', 'echo', 'with', 'the', 'footsteps', 'of', 'lost', 'joy']",in the labyrinth of grief the walls echo with the footsteps of lost joy 
"A soul adrift in the sea of solitude, waves of loneliness crashing relentlessly. ",0,Negative,81,"['a', 'soul', 'adrift', 'in', 'the', 'sea', 'of', 'solitude', 'waves', 'of', 'loneliness', 'crashing', 'relentlessly']",a soul adrift in the sea of solitude waves of loneliness crashing relentlessly 
"The bitterness of betrayal, a taste that lingers, staining the palate of trust. ",0,Negative,80,"['the', 'bitterness', 'of', 'betrayal', 'a', 'taste', 'that', 'lingers', 'staining', 'the', 'palate', 'of', 'trust']",the bitterness of betrayal a taste that lingers staining the palate of trust 
"Tears, the ink staining the pages of a journal, a testament to silent grief. ",0,Negative,77,"['tears', 'the', 'ink', 'staining', 'the', 'pages', 'of', 'a', 'journal', 'a', 'testament', 'to', 'silent', 'grief']",tears the ink staining the pages of a journal a testament to silent grief 
"Haunted by the specter of lost possibilities, a ghost that refuses to fade away. ",0,Negative,81,"['haunted', 'by', 'the', 'specter', 'of', 'lost', 'possibilities', 'a', 'ghost', 'that', 'refuses', 'to', 'fade', 'away']",haunted by the specter of lost possibilities a ghost that refuses to fade away 
"In the labyrinth of despair, the echoes of a broken heart reverberate endlessly. ",0,Negative,81,"['in', 'the', 'labyrinth', 'of', 'despair', 'the', 'echoes', 'of', 'a', 'broken', 'heart', 'reverberate', 'endlessly']",in the labyrinth of despair the echoes of a broken heart reverberate endlessly 
"Tears, the currency of grief, spent in the marketplace of lost love and longing. ",0,Negative,81,"['tears', 'the', 'currency', 'of', 'grief', 'spent', 'in', 'the', 'marketplace', 'of', 'lost', 'love', 'and', 'longing']",tears the currency of grief spent in the marketplace of lost love and longing 
"In the tapestry of despair, threads of hope unravel, leaving a portrait of sorrow. ",0,Negative,83,"['in', 'the', 'tapestry', 'of', 'despair', 'threads', 'of', 'hope', 'unravel', 'leaving', 'a', 'portrait', 'of', 'sorrow']",in the tapestry of despair threads of hope unravel leaving a portrait of sorrow 
"In the symphony of grief, each tear is a note, composing a melancholic melody. ",0,Negative,79,"['in', 'the', 'symphony', 'of', 'grief', 'each', 'tear', 'is', 'a', 'note', 'composing', 'a', 'melancholic', 'melody']",in the symphony of grief each tear is a note composing a melancholic melody 
"Sinking in the quicksand of despair, the harder you fight, the deeper you descend. ",0,Negative,83,"['sinking', 'in', 'the', 'quicksand', 'of', 'despair', 'the', 'harder', 'you', 'fight', 'the', 'deeper', 'you', 'descend']",sinking in the quicksand of despair the harder you fight the deeper you descend 
"Swept away by the river of regret, the currents of the past refusing to release. ",0,Negative,81,"['swept', 'away', 'by', 'the', 'river', 'of', 'regret', 'the', 'currents', 'of', 'the', 'past', 'refusing', 'to', 'release']",swept away by the river of regret the currents of the past refusing to release 
"Dancing on sunshine, each step a celebration of the joy found in simple moments. ",1,Positive,81,"['dancing', 'on', 'sunshine', 'each', 'step', 'a', 'celebration', 'of', 'the', 'joy', 'found', 'in', 'simple', 'moments']",dancing on sunshine each step a celebration of the joy found in simple moments 
"Laughter echoes in the air, a chorus of happiness that lifts the spirit higher. ",1,Positive,80,"['laughter', 'echoes', 'in', 'the', 'air', 'a', 'chorus', 'of', 'happiness', 'that', 'lifts', 'the', 'spirit', 'higher']",laughter echoes in the air a chorus of happiness that lifts the spirit higher 
